rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
244,frame_0202.jpg,80.8,0.3215,0.3485,0.0909,0.6,9,1,False,False
245,frame_0378.jpg,151.2,0.3186,0.4962,0.1818,0.08,14,2,False,False
246,frame_0314.jpg,125.6,0.3107,0.4258,0.2727,0.08,18,3,False,False
247,frame_0221.jpg,88.4,0.303,0.5101,0.0,0.24,12,0,False,False
248,frame_0193.jpg,77.2,0.3026,0.4546,0.0909,0.24,12,1,False,False
249,frame_0226.jpg,90.4,0.2977,0.4157,0.2727,0.04,17,3,False,False
250,frame_0211.jpg,84.4,0.2866,0.2626,0.0909,0.64,12,1,False,False
251,frame_0375.jpg,150.0,0.2814,0.4282,0.0909,0.2,15,1,False,False
252,frame_0267.jpg,106.8,0.2758,0.3946,0.1818,0.12,6,2,False,False
253,frame_0196.jpg,78.4,0.2656,0.3326,0.0909,0.36,6,1,False,False
254,frame_0197.jpg,78.8,0.2562,0.2979,0.0909,0.4,7,1,False,False
255,frame_0183.jpg,73.2,0.2266,0.3826,0.0909,0.04,15,1,False,False
256,frame_0376.jpg,150.4,0.1834,0.3028,0.0,0.16,10,0,False,False
